ERROR:root: id=15067抓取user时发生错误2016-05-10 23:26:32 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/695786
ERROR:root: id=33038抓取user时发生错误2016-05-10 23:26:32 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1358839
ERROR:root: id=11161抓取user时发生错误2016-05-10 23:26:33 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/541759
ERROR:root: id=10151抓取user时发生错误2016-05-10 23:26:33 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/510939
ERROR:root: id=4161抓取user时发生错误2016-05-10 23:26:33 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/269347
ERROR:root: id=17061抓取user时发生错误2016-05-10 23:26:33 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/781368
ERROR:root: id=12152抓取user时发生错误2016-05-10 23:26:33 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/578394
ERROR:root: id=23061抓取user时发生错误2016-05-10 23:26:34 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1008772
ERROR:root: id=145抓取user时发生错误2016-05-10 23:26:34 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/110944
ERROR:root: id=7161抓取user时发生错误2016-05-10 23:26:35 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/385450
ERROR:root: id=22056抓取user时发生错误2016-05-10 23:26:35 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/970783
ERROR:root: id=24060抓取user时发生错误2016-05-10 23:26:35 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1040706
ERROR:root: id=8158抓取user时发生错误2016-05-10 23:26:35 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/429431
ERROR:root: id=21063抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/933115
ERROR:root: id=6150抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/346371
ERROR:root: id=35034抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1444650
ERROR:root: id=28061抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1170787
ERROR:root: id=1154抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/151933
ERROR:root: id=25060抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1071067
ERROR:root: id=10152抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/511016
ERROR:root: id=4162抓取user时发生错误2016-05-10 23:26:36 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/269372
ERROR:root: id=34037抓取user时发生错误2016-05-10 23:26:37 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1403676
ERROR:root: id=39038抓取user时发生错误2016-05-10 23:26:37 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1633812
ERROR:root: id=18059抓取user时发生错误2016-05-10 23:26:37 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/818304
ERROR:root: id=26057抓取user时发生错误2016-05-10 23:26:37 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1102794
ERROR:root: id=15068抓取user时发生错误2016-05-10 23:26:38 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/695829
ERROR:root: id=38038抓取user时发生错误2016-05-10 23:26:39 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1585518
ERROR:root: id=32039抓取user时发生错误2016-05-10 23:26:39 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1316487
ERROR:root: id=37037抓取user时发生错误2016-05-10 23:26:39 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1539517
ERROR:root: id=19056抓取user时发生错误2016-05-10 23:26:39 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/853333
